all_authors,year_published,title,publisher,volume,document_link,date_uploaded,abstract,keywords,pdf_path,cleaned,start,end
"Nagel, D. J., Srinivasan, M.",2014,"Evidence from LENR Experiments for Bursts of Heat, Sound, EM Radiation and Particles and for Micro-explosions",J. Condensed Matter Nucl. Sci.,13,http://lenr-canr.org/acrobat/BiberianJPjcondensedl.pdf#page=453,2014-10-27,"We examined published evidence for power production by LENR, which occurred too fast to be captured by calorimeters. That evidence includes observations of craters in materials, measurements of sound emission, recordings of radio-frequency, infrared and X-ray emissions, measurements of neutrons and charged particles and micro-explosions. The energy emission times, some below 1 ms, are tabulated.","Energy bursts, Low energy nuclear reactions, Micro-explosions, Power bursts",3083_BiberianJPjcondensedl.pdf,,453.0,465.0
"Nagel, D. J.",2015,Scientific and Commercial Overview of ICCF19,Infinite Energy,,http://lenr-canr.org/acrobat/NagelDJscientificb.pdf,2015-07-24,"ICCF is the abbreviation for International Conference on Cold Fusion. It is the historic identifier of a series of conferences that started in 1990. The 19th conference had the full title of International Conference on Condensed Matter Nuclear Science (CMNS). It was held from April 13 to 17, 2015 in Padua, Italy, about 40 kilometers west of Venice. This was the fourth conference in this series that was held in Italy. The General Chairman of the conference was Anthony La Gatta, who is the Founder and President of the company TSEM. He opened the conference with an interesting theme on the melding of mathematics and music. The Co-Chairmen were Michael C.H. McKubre from SRI International and Vittorio Violante of Italian National Agency for New Technologies, Energy and Sustainable Economic Development (ENEA).",Review,3084_NagelDJscientificb.pdf,,,
"Nagel, D. J., Swanson, R.",2015,LENR Excess Heat may not be Entirely from Nuclear Reactions,J. Condensed Matter Nucl. Sci.,15,http://lenr-canr.org/acrobat/BiberianJPjcondensedn.pdf#page=286,2018-01-18,"Some theories of the mechanisms active in producing Lattice Enabled (or Low Energy) Nuclear Reactions (LENR) predict the formation of compact objects with binding energies and sizes intermediate between those of atoms and nuclei. The existence of compact objects remains unproven. But, if such objects exist and are formed during what are now called LENR experiments, they might release substantial energy without any nuclear reactions. Because of the small size of hypothetical compact objects, it is thought that the protons or deuterons at their centers might subsequently participate in nuclear reactions, producing more energy, transmutation products or energetic quanta. Such a two-step sequence could explain the relatively low production rates of nuclear reaction products, and also difficulties in correlating excess heat with the amounts of such products.","Energy, Low energy nuclear reactions, Mechanisms for LENR",3085_BiberianJPjcondensedn.pdf,,286.0,294.0
"Nagel, D. J.",2015,Energy gains from lattice-enabled nuclear reactions,Curr. Sci.,108,,,,,,,,
"Nagel, D. J.",2015,Lattice-enabled nuclear reactions in the nickel and hydrogen gas system,Curr. Sci.,108,,,,,,,,
"Nagel, D. J., Moser, A. E.",2016,High Energy Density and Power Density Events in Lattice-enabled Nuclear Reaction Experiments and Generators,J. Condensed Matter Nucl. Sci.,19,http://lenr-canr.org/acrobat/BiberianJPjcondensedr.pdf#page=227,2016-12-19,"The rapid release of energy from Lattice Enabled (or Low Energy) Nuclear Reactions is of interest for three reasons. First, it constrains and challenges theories about the mechanism(s) active in producing LENR. Next, it might heavily influence the design of heat and electrical generators based on LENR, since they have to be safe for use by a wide variety of people. Finally, there has long been interest in whether or not LENR could be used to augment existing weapons or produce to entirely new weapons. This paper first reviews reports in the literature of meltdowns or explosions that might have been caused by LENR. Then, each of the three areas cited above is examined. It is clear that reported high energy or high power events will heavily impact theories about LENR and the development of safe products. It is unclear now if LENR will be weaponized in any form. Control of the initiation of explosive LENR events is obviously necessary for that possibility.","Craters, Explosions, High-power, LENR, Meltdowns",3088_BiberianJPjcondensedr.pdf,,227.0,237.0
"Nagel, D. J.",2017,Evidence of Operability and Utility from Low Energy Nuclear Reaction Experiments,NUCAT Energy LLC,,http://lenr-canr.org/acrobat/NagelDJevidenceof.pdf,2017-08-14,"An objective of this report is to remove doubt about measured results from Low Energy Nuclear Reaction (LENR) experiments, even though the mechanisms that produce LENR are not fully understood.  The report demonstrates that there is much reputable evidence in available technical records, which shows LENR devices are capable of producing energy.  It has been demonstrated experimentally and often that chemical energies can produce nuclear reactions.   Significant energy gains are possible.  The ""excess heat"" found by Fleischmann and Pons has attractive features.  They include low levels of prompt and residual radiation, and no production of green house gases.   Reaction by-products, such as tritium or helium, are also generated.  They can only result from nuclear reactions.  Low Energy Nuclear Reactions have great practical potential.",Commercialization,3089_NagelDJevidenceof.pdf,,,
"Nagel, D. J.",2018,Expectations of LENR Theories,J. Condensed Matter Nucl. Sci.,26,http://lenr-canr.org/acrobat/BiberianJPjcondensedy.pdf#page=20,2018-08-29,"The mechanisms that cause Lattice Enabled (or Low Energy) Nuclear Reactions (LENR) are still not understood, even though much is known empirically about LENR. We provide list of 24 observations from almost three decades of LENR experiments. These observations require theoretical explanations. This paper deals with two aspects of the many theories about the mechanisms. The first is the theories themselves, i.e., their characteristics and results. The few dozen available theories on LENR mechanisms are diverse and complex. Only a lengthy paper could properly summarize their essence, including all assumptions and implications. Such a thorough review of extant LENR theories would be challenging to write. Here, we merely indicate reviews and other sources of information on LENR theories. The second focus of this paper is the status of development of LENR theories, specifically, the completeness of their elaboration. It is possible to detail what is expected of LENR theorists by experimentalists, teachers, students, developers and other interested personnel. We provide and discuss ten questions for LENR theoreticians about the description (characteristics) and status (development) of their ideas. The nearly three decades of theoretical work on LENR has resulted in remarkably few well-developed theories. None of them has yet been adequately tested and widely accepted. There remains a great opportunity for some theoretician to provide the basic understanding of LENR. That understanding would enable or speed the commercialization of this new, clean, promising and much needed energy source.","Empirical observations, Heat?He correlation, LENR, Low energy nuclear reactions, Theory",3090_BiberianJPjcondensedy.pdf,,20.0,36.0
"Nagel, D. J.",2022,Input Stimuli and Output Signals for LENR Experiments,J. Condensed Matter Nucl. Sci.,36,http://lenr-canr.org/acrobat/BiberianJPjcondensedzi.pdf#page=66,2022-11-14,"One purpose of this paper is to draw attention to particular past LENR experiments and suggest some attractive future LENR experiments. Hence, we consider both past and prospective stimuli into and signals out of LENR experiments. Another goal is to provide a brief compilation of experimental data that can be used to test LENR theories. Rigorous challenges to theoretical results are needed to advance the understanding and practical applications of LENR.","LENR, Experiments, Input stimuli, Output signals, LENR theory tests",3091_BiberianJPjcondensedzi.pdf,,66.0,98.0
"Nager, U., Hayden, M. E., Booth, J. L., Hardy, W. N., Whitehead, L. A., Carolan, J. F., Balzarini, D. A., Wishnow, E. H., Blake, C. C.",1990,High Precision Calorimetric Apparatus for Studying Electrolysis Reactions,Rev. Sci. Instr.,61,,,,"calorimeter, method, apparatus, heat",,,,
"Naitoh, K., Tsuchiya, K., Ayukawa, K., Oyanagi, S., Kanase, T., Tsuru, K., Konagaya, R.",2017,Fundamental Experimental Tests toward Future Cold Fusion Engine Based on Point-compression due to Supermulti-jets Colliding with Pulse (Fusine),J. Condensed Matter Nucl. Sci.,24,http://lenr-canr.org/acrobat/BiberianJPjcondensedw.pdf#page=248,2017-10-19,"Our previous reports based on theoretical considerations and supercomputer simulation showed the possibility that super multi-air jets of gases such as air or deuterium colliding with pulse (K. Naitoh, patent: 2012-519298 (2010)) lead to self-compression over 60 MPa and 2000 K at single point around the reacted center, at maximum. This may bring about a more stable occurrence of cold fusion. This approach due to supermulti-jets will also cause an insulation effect because of encasing, which will result in less heat loss from the reactor walls. Based on this, we developed three types of prototype engine reactors using the supermulti-jets colliding with pulse. In the present report, we show some fundamental experimental data for one of the three prototype engine reactors, derived now, before we plan to begin testing for cold fusion.","Experiment, Pulse, Reactor, Simulation, Supermulti-jets colliding, Theory",3093_BiberianJPjcondensedw.pdf,,248.0,255.0
"Nakada, M., Kusunoki, T., Okamoto, M.",1992,Energy of the Neutrons Emitted in Heavy Water Electrolysis,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""",1,http://lenr-canr.org/acrobat/IkegamiHthirdinter.pdf#page=179,2018-12-04,"The Low/High pulse mode electrolysis has been introduced to carry out the experimental study to clarify the dependency of the UH pulse modes operation of electrolysis on the neutron emission from the Pd cathodes. Among 6 runs of the electrolysis of VH pulse mode operations, 3 of them gave appreciable neutron emission. The neutron energy spectra were found to have the two compornents (2.45 MeV peak and a broad band in higher energy region). The intensity of the 2.45 MeV neutron is smaller than that of the higher energy.","Pd, D2O, neutron, energy, electrolysis, ICCF-3",3094_IkegamiHthirdinter.pdf,,179.0,184.0
"Nakada, M., Kusunoki, T., Okamoto, M., Odawara, O.",1992,A Role of Lithium for the Neutron Emission in Heavy Water Electrolysis,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""",1,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=318,2018-12-04,"The depth profile analysis of Pd, Li, and D has been performed by means of SIMS to clarify the roles of lithium in D2O Pd electrolysis for cold fusion research. Very clear differences between the depth profiles of Li and D in the Pd electrode surfaces with the neutron emissions and without it. The depth profiles were also found to depend on the mode of the electric current employed. Based on the above findings, it is discussed that the anomalous deuterium accumulation in the surface region of the Pd with the neutron emission and attributed to the formation of Pd-Li layer in the surface region and to the low/high pulsed mode electrolysis with heavy water with LiOD.","Li, Pd, D2O, neutron, surface analysis, electrolysis, ICCF-3",3095_IkegamiHthirdintera.pdf,,318.0,324.0
"Nakamitsu, Y., Chiba, M., Fukushima, K., Hirose, T., Kubo, K., Fujii, M., Nakahara, H., Seimiya, T., Sueki, K., Katada, M., Baba, N., Kamasaki, S., Ikuta, S., Endo, K., Shirakawa, T.",1994,Study of cold nuclear fusion with electrolysis at low-temperature range,Nuovo Cimento Soc. Ital. Fis. A,107,,,,"methanol, Pd, electrolysis, low temperature, neutron",,,,
"Nakamura, K., Kawase, T., Ogura, I.",1996,Possibility of element transmutation by arcing in water,Kinki Daigaku Genshiryoku Kenkyusho Nenpo,33,,,,"heat, gas discharge, electrolysis, D2O",,,,
"Nakamura, K., Kishimoto, Y., Ogura, I.",1997,Element Conversion by Arcing in Aqueous Solution,J. New Energy,2,,,,"gas discharge,, transmutation,, H2O,, plasma",,,,
"Nakata, T., Tsuchida, Y., Kunimatsu, K.",1992,Absorption of Hydrogen into Palladium Foil Electrode: Effect of Thiourea,"Third International Conference on Cold Fusion, ""Frontiers of Cold Fusion""",1,http://lenr-canr.org/acrobat/IkegamiHthirdintera.pdf#page=310,2018-12-04,"Electrolytic hydrogen absorption into Pd foil (50 μm thickness) was investigated in the absence and presence of 30 μ M thiourea (THU) in 0.5M H2SO4 and 0.4M LiOH. The amount of hydrogen absorbed under cathodic polarization was determined by integrating the ionization current of hydrogen when Pd electrode was polarized anodically.After THU addition in the acidic and alkaline solution H/Pd increased by about 8% and 5%, respectively.Further we tried absorption of deuterium into Pd foil and found a similar effect of THU to increase D/Pd only in the acidic solution.","thiourea, Pd, D2O, loading, overvoltage, ICCF-3",3099_IkegamiHthirdintera.pdf,,310.0,313.0
"Nakata, T., Kobayashi, M., Nagahama, M., Akita, H., Hasegawa, N., Kunimatsu, K.",1996,Excess Heat Measurement at High Cathode Loading by Deuterium During Electrolysis of Heavy Water using Pd Cathode,"Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy",1,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf#page=138,2018-11-29,"We reported excess heat data as a function of cathode loading by deuterium, OlPd, using various kinds of Pd materials as a cathode in fuel cell type closed cells developed in our laboratory [1]. Since then we have tried to reproduce the excess heat data by employing a different kind of calorimetry, mass flow calorimetry, at better cathode loadings because the previous data was restricted to the cathode loading lower than 0.86. The issue of electrolytic loading of deuterium into a Pd cathode was investigated in terms of the bulk and surface properties of the cathode, and it was concluded that the surface and the bulk properties plays an essential role respectively for a given bulk and a surface properties [2].We have employed three major approaches to improve the cathode loading based on these studies: (1 )pretreatment of the Pd samples by either annealing at high temperature or by chemical etching in aqua regia, (2)application of the partial deload-reload cycles, (3)alloying with rhodium.We report a summary of the 26 excess heat measurements by mass flow calorimetry under the improved cathode loadings.","heat-, Pd, D2O, electrolysis, D/Pd, loading, Pd-Rh, ICCF-6",3100_NEDOthesixthin.pdf,,138.0,143.0
"Nakazawa, M.",1990,Urtra low-level neutron counting,Hoshasen,16,,,,"review, neutron, method",,,,
"Nakazawa, M., Shibata, T., Iguchi, T., Akimoto, T., Niimura, N., Oyama, Y., Aizawa, O.",1990,Cold fusion and low level neutron measurements,Nihon Genshiryoku Gakkaishi,32,,,,review,,,,
"Namiot, V. A., Shchurova, L. Yu.",2020,On Enhancement of Transmission Probability through a High Potential Barrier Due to an Anti-Zeno Effect,J. Condensed Matter Nucl. Sci.,31,http://lenr-canr.org/acrobat/BiberianJPjcondensedzd.pdf#page=108,2020-05-08,"We consider a situation in which observations themselves can significantly increase a particle transmission probability through a high barrier compared with the particle tunneling probability (a barrier anti-Zeno effect). This may explain the results of cold fusion experiments that have been reported by other authors for various systems. We examine the anti-Zeno effect as a model of a barrier of a special shape, which is similar to the form of barriers to nuclear fusion in a solid, and moreover, has an analytic solution. We have deduced formulas that demonstrate conditions that increase the barrier permeability. Numerical estimates of the particle flows through the barrier are carried out for the conditions of cold fusion experiments.","Barrier anti-Zeno effect, Cold nuclear fusion, Particle transmission through a barrier",3103_BiberianJPjcondensedzd.pdf,,108.0,117.0
"Narayanaswamy, C. R.",2017,Observation of Anomalous Production of Si and Fe in an Arc Furnace Driven Ferro Silicon Smelting Plant at levels of Tons per day,J. Condensed Matter Nucl. Sci.,24,http://lenr-canr.org/acrobat/BiberianJPjcondensedw.pdf#page=256,2017-10-19,"In the period 1978?2002, The Silcal Metallurgic Ltd., a Coimbatore (India) based company, was engaged in the production of ferro silicon alloy deploying a 12 MVA ""Submerged Carbon Arc"" powered smelter. During a 11-week long non-stop round the clock operation of the plant in 1995, daily feed of raw materials was: Quartz (33.4 ton), charcoal (with fixed carbon content of 13.2 ton) and scrap steel (5.1 ton) while the daily output production of Fe?Si alloy (73.5% Si) was 24.75 ton. From the total weights of Si and Fe in the input feed and assuming 100% recovery of the metals, the daily output alloy production could at best have been only 20.5 ton. However to our surprise throughout the 11-week period the total daily Fe?Si alloy (with 73.5% Si) output was consistently 24.75 ton, corresponding to a daily ""anomalous"" excess metal production of 4.25 ton of Fe?Si alloy. The only source of Si entering the smelter furnace was the quartz raw material and that of Fe was the scrap steel (except for minor additional amounts of Fe originating from the steel casing of the consumable S?derberg carbon electrodes). Very careful vigil of the weights of daily input feed of raw materials and output alloy drained out as also the electrical energy consumption was maintained. It was evident that roughly 20% more metal than could be accounted for from the input feed was being produced and consequently we have been obliged to come to the conclusion that anomalous quantities of Si (2.8 ton/day) and Fe (1.45 ton/day) were being synthesized during the smelting process. Discussions with researchers involved in the Cold Fusion/LENR field have suggested that a likely explanation for the anomalous metal production could be the occurrence of transmutation reactions between nuclei of C and the O stripped from the SiO2 during the chemical reduction process. It is speculated that the intense varying magnetic fields generated by the kilo-amp levels of alternating current (AC) driving the arcing between the three gigantic carbon electrodes and the carbonic hearth of the furnace, in the 2000?C temperature environment, could have somehow catalyzed transmutation reactions to occur, very similar to the transmutations reported in laboratory scale ""Carbon-Arc experiments"" first revealed by George Oshawa in 1964. But the more puzzling aspect of our observations is that there was no evidence of release of the expected massive amounts of nuclear energy that should have accompanied the postulated transmutation reactions based on the atomic masses of the nuclei involved.","Carbon Arc, Energy balance, Fe?Si alloy, Transmutation",3104_BiberianJPjcondensedw.pdf,,256.0,263.0
"Narita, S., Yamada, H., Arapi, A., Sato, N., Kato, D., Yamamura, M., Itagaki, M.",2003,Gamma Ray Detection and Surface Analysis on Palladium Electrode in DC Glow-like Discharge Experiment,Tenth International Conference on Cold Fusion,,http://lenr-canr.org/acrobat/NaritaSgammarayde.pdf,2003-09-16,"We performed glow-like discharge experiments using deuterated palladium cathode in deuterium atmosphere to investigate the possibility of inducing low-energy nuclear reaction. Anomalous gamma ray emissions in the 80 - 230keV region were sometimes observed. It was assumed that a nuclear reaction took place during the experiment, producing short-lived radioisotopes, and these radioisotopes emitted the gamma rays in their decay processes. Elements and their isotopic abundance on the palladium cathodes were investigated by time-of-flight secondary ion mass spectrometry to find evidence of a nuclear reaction.","glow discharge, radioactivity, gamma, transmutation",3105_NaritaSgammarayde.pdf,,,
"Narita, S., Yamada, H., Takahashi, D., Wagatsuma, Y., Taniguchi, S., Itagaki, M.",2005,Discharge Experiment Using Pd/CaO/Pd Multi-layered Cathode,The 12th International Conference on Condensed Matter Nuclear Science,,,,,"glow discharge, transmutation",,,,
"Narita, S., Yamada, H., Takahashi, D., Wagatsuma, Y., Taniguchi, S., Itagaki, M.",2005,Discharge Experiment Using Pd/CaO/Pd Multi-layered Cathode (PowerPoint slides),The 12th International Conference on Condensed Matter Nuclear Science,,,,,"transmutation, glow discharge",,,,
"Narita, S., Neichi, K., Matsumoto, T.",2013,Evaluation of Uncertainties in Measurement of Isotopic Abundance by Semi-quantitative Analysis with TOF-SIMS,J. Condensed Matter Nucl. Sci.,11,http://lenr-canr.org/acrobat/BiberianJPjcondensedj.pdf#page=98,2013-04-23,"In Condensed Matter Nuclear Science, an anomaly in isotopic abundances of the sample components is often considered as an evidence of a nuclear transmutation. TOF-SIMS is one of the popular tools to investigate the isotopic composition in the research, and it is known that a measured abundance possibly has a certain uncertainty due to unique effects of the device. In this study, we measured isotopic abundances for some types of metal foil samples with various surface conditions by a semi-quantitative analysis with TOF-SIMS, and evaluated the uncertainties.","Isotopic abundance, Metal deuteride, Surface morphology, TOF-SIMS, Transmutation",3108_BiberianJPjcondensedj.pdf,,98.0,105.0
"Nassikas, A. A.",2000,The Cold Fusion as a Space-Time Pumping Process,8th International Conference on Cold Fusion,1,,,,"theory, ICCF-8",,,,
"Nassisi, V.",1997,Incandescent Pd and Anomalous Distribution of Elements in Deuterated Samples Processed by an Excimer Laser,J. New Energy,2,,,,"laser,, Pd,, transmutation,, D2",,,,
"Nassisi, V.",1998,Transmutation of elements in saturated palladium hydrides by an XeCl excimer laser,Fusion Technol.,33,,,,"Pd, laser, D2, surface analysis, neutron, transmutation",,,,
"Nassisi, V., Longo, M. L.",2000,Experimental results of transmutation of elements observed in etched palladium samples by an excimer laser,Fusion Technol.,37,,,,"Pd, D2, transmutation, surface analysis, transmutation, laser",,,,
"Nassisi, V., Carettom, A., Manno, D., Fama, L., Buccolieri, G., A/, Buccolieri., Mastromatteo, U.",2011,Modification of Pd-H2 and Pd-D2 Thin Films Processed by He-Ne Laser,J. Condensed Matter Nucl. Sci.,5,http://lenr-canr.org/acrobat/BiberianJPjcondensedd.pdf#page=7,2012-09-21,"In this work, we performed experiments of absorption of hydrogen and deuterium gas by Pd thin films, and we compared the behavior of these samples to unprocessed films. We also employed a continuous wave He-Ne laser to irradiate the samples inside the chamber during the treatment, in order to increase the gas absorption. Using a scanning electron microscope (SEM) and an electron probe micro-analyzer (EDX), we observed structures like spots on the surface of the treated samples. Inside the spots, elements other than Pd were found. Based on these results, we determined that gas loading is an effective way to transmute elements, and the laser action has been a very effective way to increase morphological changes in the treated samples.","Cold fusion, Laser, Palladium thin film, Silicon, Transmutation",3113_BiberianJPjcondensedd.pdf,,7.0,12.0
"Nassissi, V.",1997,Incandescent Pd and Anomalous Distribution of Elements in Deuterated Samples Processed by an Excimer Laser,J. New Energy,2,,,,"laser,, Pd,, transmutation,, D2",,,,
"Natter, H., Wettmann, B., Heisel, B., Hempelmann, R.",1997,Hydrogen in nanocrystalline palladium,J. Alloys and Compounds,3-254,,,,"palladium black, diffusion, phase diagram, pressure, Pd-black",,,,
"Nayar, M. G., Mitra, S. K., Raghunathan, P., Krishnan, M. S., Malhotra, S. K., Gaonkar, D. G., Sikka, S. K., Shyam, A., Chitra, V.",1989,Preliminary Results Of Cold Fusion Studies Using A Five Module High Current Electrolytic Cell,BARC Studies in Cold Fusion,,http://lenr-canr.org/acrobat/NayarMGpreliminar.pdf,2006-03-07,Introduction In their first cold fusion paper Fleischmann et al. suggested that an electrolytic cell with large volume and surface area and high current density may cause fusion reactions resulting in the production of significant amounts of heat and nuclear particles. The experiments reported in this paper present the results of our early efforts to design and operate a high current modular Pd-Ni electrolytic cell and look for cold fusion reactions.,"neutron, tritium, Pd,",3116_NayarMGpreliminar.pdf,,,
NCFI,1990,The First Annual Conference on Cold Fusion,National Cold Fusion Institute,,http://lenr-canr.org/acrobat/NCFIthefirstan.pdf,2018-11-26,Proceedings of The First Annual Conference on Cold Fusion,,3117_NCFIthefirstan.pdf,,,
NCFI,1991,"Investigation of Cold Fusion Phenomena in Deuterated Metals. Final Report, Overview, Executive Summary, Chemistry, Physics, Gas Reactions, Metallurgy",National Cold Fusion Institute,I,http://lenr-canr.org/acrobat/NCFIinvestigat.pdf,2018-10-22,"The March 1989 announcement by Pons and Fleischmann stimulated worldwide interest in the cold fusion phenomenon. In Utah the legislature appropriated $5 million to support cold fusion research and development. As cold fusion inquiries continue worldwide, this interim report has been written to document the scientific and legal work that has been funded by the Utah legislature.This is volume I of the report.",,3118_NCFIinvestigat.pdf,,,
NCFI,1991,"Investigation of Cold Fusion Phenomena in Deuterated Metals. Final Report, Engineering",National Cold Fusion Institute,II,http://lenr-canr.org/acrobat/NCFIinvestigata.pdf,2018-10-22,"The March 1989 announcement by Pons and Fleischmann stimulated worldwide interest in the cold fusion phenomenon. In Utah the legislature appropriated $5 million to support cold fusion research and development. As cold fusion inquiries continue worldwide, this interim report has been written to document the scientific and legal work that has been funded by the Utah legislature.This is volume II of the report.",,3119_NCFIinvestigata.pdf,,,
NCFI,1991,"Investigation of Cold Fusion Phenomena in Deuterated Metals. Final Report, Theoretical and Collaborative Studies",National Cold Fusion Institute,III,http://lenr-canr.org/acrobat/NCFIinvestigatb.pdf,2018-10-22,"The March 1989 announcement by Pons and Fleischmann stimulated worldwide interest in the cold fusion phenomenon. In Utah the legislature appropriated $5 million to support cold fusion research and development. As cold fusion inquiries continue worldwide, this interim report has been written to document the scientific and legal work that has been funded by the Utah legislature.This is volume III of the report.",,3120_NCFIinvestigatb.pdf,,,
NEDO,1996,"The Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy, Volume 1",New Energy and Industrial Technology Development Organization,1,http://lenr-canr.org/acrobat/NEDOthesixthin.pdf,2018-11-29,"The 6th International Conference on Cold Fusion (ICCF6) was held at Lake Toya, Hokkaido, Japan, on October 13th - 18th 1996, with 179 participants registering from 17 countries. 43 oral presentation papers and 77 poster presentation papers were selected out of more than 160 abstracts originally submitted. The Proceedings, ""PROGRESS IN NEW HYDROGEN ENERGY"", has been edited as the document of the Conference.",,3121_NEDOthesixthin.pdf,,,
NEDO,1996,"The Sixth International Conference on Cold Fusion, Progress in New Hydrogen Energy, Volume 2",New Energy and Industrial Technology Development Organization,2,http://lenr-canr.org/acrobat/NEDOthesixthina.pdf,2018-11-30,"Volume 2.The 6th International Conference on Cold Fusion (ICCF6) was held at Lake Toya, Hokkaido, Japan, on October 13th - 18th 1996, with 179 participants registering from 17 countries. 43 oral presentation papers and 77 poster presentation papers were selected out of more than 160 abstracts originally submitted. The Proceedings, ""PROGRESS IN NEW HYDROGEN ENERGY"", has been edited as the document of the Conference.",,3122_NEDOthesixthina.pdf,,,
"Nedospasov, A. V., Mudetskaya, E. V.",1997,Comments on the possible nature of 'cold fusion' phenomena,Fusion Technol.,31,,,,"Theory, eleptino",,,,
"Nee, H. H., Subashiev, A. V., Prados-Esteves, F. M.",2019,Lattice Confinement of Hydrogen in FCC Metals for Fusion Reactions,J. Condensed Matter Nucl. Sci.,29,http://lenr-canr.org/acrobat/BiberianJPjcondensedzb.pdf#page=502,2020-07-30,"Clusters of H isotope atoms segregated to vacancies, divacancies and vacancy?impurity complexes in FCC metals are proposed as fuel for low energy nuclear reactions (LENR). Such clusters combine extremely high H atomic density, large values of screening potential, and as a result, a low LENR ignition energy in eV region. Besides, high average H density can be achieved due to the superabundant vacancy state (SAV) formation. These conclusions are made based on the density functional theory (DFT) modeling of these clusters, estimations of the nuclear reaction rates using experimental data for the nuclear reaction cross sections and a wide set of experimental studies of charging and recharging of various Ni samples with H and D atoms. The results were analyzed using temperature programmed desorption. The experiments confirmed extremely high loading of Ni samples with H isotopes. We discuss the problem of suitable ignition mechanisms and sustainability conditions.","DFT, Divacancies, Fusion reaction rate, Ignition energy, Lattice confinement, Nickel, Screening potential",3124_BiberianJPjcondensedzb.pdf,,502.0,511.0
"Nefedov, V. I.",1991,Cold nuclear fusion?,Vestnik Akad. Nauk SSSR,,,,,review,,,,
"Neuville, S.",2017,Perspective on Low Energy Bethe Nuclear Fusion Reactor with Quantum Electronic Atomic Rearrangement of Carbon,J. Condensed Matter Nucl. Sci.,23,http://lenr-canr.org/acrobat/BiberianJPjcondensedv.pdf#page=96,2017-05-22,"The relatively low/medium proton/carbon collision threshold energy (1?8 keV) of the Bethe?Weizs?cker nuclear reaction cycle C, N, and O observed in low temperature carbon rich stars suggests the eventual technical feasibility of a solid-state carbon fusion reactor. H+ used as a precursor nuclear material can be implanted in solid-state carbon material. We must then consider all effects that can affect nuclear collision efficiency, including solid-state structure specificity, proton channeling and the reduction of the original proton energy with electronic interactions, before looking at the possible nuclear reactions themselves. We then have to consider the different effects and types of atomic rearrangement favoring either sp2 or sp3 sites or which influence the carbon material structure. For this purpose, we review first a recently developed theoretical approach, which might explain important aspects of this phenomenon with still high confidence up to now. These aspects include quantum electronic activation especially with H2 recombination energy release, which is different from usual chemical and metallurgical thermal atomic rearrangement with which an optimized ta-C sp3 carbon structure can be controlled. It should also be considered that carbon structure determination methodology ? including the recently revised Raman theory ? provide more correct and accurate results. To be falsified a study of this type of proton?carbon nuclear reactor must also take into account effects which modify the carbon nucleus structure in favor of nuclear fusion. It is suggested that anharmonic synchronic phonon?nuclear resonance may be a contributing factor. However, present failures and the limits of abstract Quantum Mechanical formalism bring little clarification on this last point, which we suggest is owing to insufficient physical description of particle wave character. In order to improve these aspects of the theory, we suggest revisiting aether theory which with further investigation and development of 3D fluid mechanics is expected to account for all QM acquired, and to be able to provide clearer physical insight into the subatomic particle wave aspects and corresponding nuclear reaction mechanism.","Anharmonic phonon?nuclear resonance, Bethe?Weizs?cker proton CNO fusion reactor, Carbon material characterization, Synchronic phonon/proton?nucleus collision, Quantum electronic atomic rearrangement",3126_BiberianJPjcondensedv.pdf,,96.0,121.0
"Nezu, S., Sano, T.",1993,Measurement of Hydrogen Loading Ratio of Pd Electrodes Cathodically Polarized in Aqueous Solutions,Fourth International Conference on Cold Fusion,2,,,,"Pd, D2O, loading, Pd-Ag, Pd-Ce, Pd-Rh, ICCF-4, electrolysis",,,,
"Nicholson, J. P.",1996,A search for particle emission from a gas-loaded deuterium-palladium system in the alpha-beta phase,Fusion Technol.,30,,,,"Pd, D2, neutron, proton, Pd, particle emission",,,,
"Niedra, J. M., Myers, I. T., Fralick, G. C., Baldwin, R. S.",1996,Replication of the apparent excess heat effect in light water-potassium carbonate-nickel-electrolytic cell,Infinite Energy,2,http://lenr-canr.org/acrobat/NiedraJMreplicatio.pdf,2023-05-15,"Replication of experiments claiming to demonstrate excess heat production in light water-Ni-K2CO3 electrolytic cells was found to produce an apparent excess heat of 11 W maximum, for 60 W electrical power into the cell. Power gains ranged from 1.06 to 1.68. The cell was operated at four different dc current levels plus one pulsed current run at 1 Hz, 10% duty cycle. The 28 liter cell used in these verification tests was on loan from a private corporation whose own tests with similar cells are documented to produce 50 W steady excess heat for a continuous period exceeding hundreds of days. The apparent excess heat can not be readily explained either in terms of nonlinearity of the cell's thermal conductance at a low temperature differential or by thermoelectric heat pumping. However, the present data do admit efficient recombination of dissolved hydrogen-oxygen as an ordinary explanation. Calorimetry methods and heat balance calculations for the verification tests are described. Considering the large magnitude of benefit if this effect is found to be a genuine new energy source, a more thorough investigation of evolved heat in the nickel-hydrogen system in both electrolytic and gaseous loading cells remains warranted.","heat-, H2O, Ni, electrolysis, replication Mills",3129_NiedraJMreplicatio.pdf,,,
